시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,비고,내외국인구분,국적,소재지도로명,소재지지번
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,upso_gsl_ymd,upso_nm,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_why,snt_uptae_nm,ed_fin_ymd,gaeksil,hanshil,yangsil,chair_num,yoksil,balhansil_yn,washmc_num,perm_nt_no,rem,kor_frgnr_gbn,ntn,site_addr_rd,site_addr
3030000,211,1975,00003,미용업(일반),19750510,동감헤어,59.30,0222160846,20170829,,19970422,용답동,20190827,사업부진,일반미용업,20170816,0,,,5,,N,,3030000-211-1975-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 용답19길 6, (용답동),서울특별시 성동구 용답동  41번지 2호  
3030000,211,1977,00001,미용업(일반),19770531,행당,16.28,0222959544,19970421,,19970421,사근동,,,일반미용업,,0,,,2,,N,,3030000-211-1977-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 왕십리로21길 28, (행당동),서울특별시 성동구 행당동  299번지 6호  
3030000,211,1978,00001,미용업(일반),19780422,한양,9.40,,20050311,,20050311,사근동,,,일반미용업,20050602,0,,,2,,N,,3030000-211-1978-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/16),내국인,,서울특별시 성동구 마조로1길 26-5, (행당동),서울특별시 성동구 행당동  19번지 64호  
3030000,211,1978,00002,미용업(일반),19780825,성장,11.70,,19970421,,19970421,응봉동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1978-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/08/23),내국인,,서울특별시 성동구 고산자로2길 14, (응봉동),서울특별시 성동구 응봉동  228번지 39호  
3030000,211,1979,00001,미용업(일반),19791004,승애,23.10,0222992896,19970421,,20150112,행당제1동,,,일반미용업,,0,0,0,4,0,N,,3030000-211-1979-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/04),내국인,,서울특별시 성동구 고산자로6가길 20, 지상1층 (행당동),서울특별시 성동구 행당동  117번지 30호  
3030000,211,1980,00001,미용업(일반),19800619,은주미용실,34.98,0222917953,20080416,,20140430,금호1가동,,,일반미용업,20080529,0,,,3,,N,,3030000-211-1980-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/06/28),내국인,,서울특별시 성동구 행당로1길 4, 1-2호 (금호동1가),서울특별시 성동구 금호동1가  167번지 1호  
3030000,211,1980,00002,미용업(일반),19801007,장미용실,11.56,02 2527021,20030927,,19970901,금호2.3가동,,,일반미용업,20031022,0,0,0,2,0,N,,3030000-211-1980-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/06/28),내국인,,서울특별시 성동구 금호산2길 20-1, (금호동3가),서울특별시 성동구 금호동3가  394번지 0호  
3030000,211,1980,00003,미용업(일반),19800408,세기,17.54,02 2484439,20030927,,20060703,용답동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1980-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 용답23길 19, (용답동),서울특별시 성동구 용답동  43번지 8호  
3030000,211,1980,00004,미용업(일반),19800908,바란미용실,20.28,02 4633898,20030819,,19800908,성수1가제1동,,,일반미용업,20030827,0,,,4,,N,,3030000-211-1980-00004,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/08/14),내국인,,서울특별시 성동구 상원길 47-1, (성수동1가),서울특별시 성동구 성수동1가  656번지 390호  
3030000,211,1980,00005,미용업(일반),19800414,하수정,19.77,0222983191,19970421,,20131107,옥수동,,,일반미용업,,0,,,3,,N,,3030000-211-1980-00005,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/11/07),내국인,,서울특별시 성동구 한림말3길 29, 1층 (옥수동),서울특별시 성동구 옥수동  285번지 8호  
3030000,211,1981,00001,미용업(일반),19810817,코스모스,22.72,0222322160,19970421,,20111205,금호2.3가동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1981-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/06/28),내국인,,서울특별시 성동구 금호산2길 18, (금호동3가, 금호3가 450 지상1층),서울특별시 성동구 금호동3가  450번지  (지상1층)
3030000,211,1981,00002,미용업(일반),19810313,신라미용실,28.06,0222977870,19970421,,20160701,옥수동,,,일반미용업,,0,,,2,,N,,3030000-211-1981-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/01),내국인,,서울특별시 성동구 독서당로 166, 상가105호 (옥수동, 성원상떼뷰),서울특별시 성동구 옥수동  475번지  
3030000,211,1981,00003,미용업(일반),19810508,청한미용실,15.30,0222973248,19970421,,20160616,금호4가동,,,일반미용업,,0,,,2,,N,,3030000-211-1981-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 독서당로 320-1, 1층 (금호동4가),서울특별시 성동구 금호동4가  150번지  
3030000,211,1981,00004,미용업(일반),19810403,행복을주는미용실,24.00,0222998494,20060410,,20020821,왕십리제2동,,,일반미용업,20060511,0,,,,,N,,3030000-211-1981-00004,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/04),내국인,,서울특별시 성동구 무학봉길 56-1, (하왕십리동),서울특별시 성동구 하왕십리동  980번지 42호  
3030000,211,1982,00001,미용업(일반),19820809,행복,13.68,0222373946,20010820,,20010820,금호2.3가동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1982-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/01),내국인,,서울특별시 성동구 무수막길 64-1, (금호동2가),서울특별시 성동구 금호동2가  667번지 0호  
3030000,211,1982,00002,미용업(일반),19821123,현대,32.00,0222322919,19970421,,19981221,금호2.3가동,,,일반미용업,,0,,,2,,N,,3030000-211-1982-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 금호산2길 26, (금호동3가),서울특별시 성동구 금호동3가  389번지  
3030000,211,1982,00003,미용업(일반),19821101,준,11.90,0222328674,19970421,,19970421,금호2.3가동,,,일반미용업,,0,,,20,,N,,3030000-211-1982-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 장터길 27-2, (금호동3가),서울특별시 성동구 금호동3가  1292번지 0호  
3030000,211,1982,00004,미용업(일반),19820518,팔방미인,13.50,,19980514,,19980514,성수1가제1동,,,일반미용업,20120508,0,0,0,3,0,N,,3030000-211-1982-00004,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/12),내국인,,서울특별시 성동구 연무장길 20, (성수동1가),서울특별시 성동구 성수동1가  16번지 40호  
3030000,211,1982,00005,미용업(일반),19820322,현,12.58,,19970421,,19970421,왕십리도선동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1982-00005,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/15),내국인,,서울특별시 성동구 마장로 186, (홍익동),서울특별시 성동구 홍익동  408번지 0호  
3030000,211,1982,00006,미용업(일반),19820727,채,13.50,0222470471,19970422,,19970422,용답동,,,일반미용업,,0,,,2,,N,,3030000-211-1982-00006,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/17),내국인,,서울특별시 성동구 용답중앙13길 14, (용답동),서울특별시 성동구 용답동  66번지 5호  
3030000,211,1983,00001,미용업(일반),19830915,정재원뷰티살롱,27.30,0222984130,19970422,,20090227,옥수동,20181024,휴식,일반미용업,,0,0,0,4,0,N,0,3030000-211-1983-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/06/28),내국인,,서울특별시 성동구 독서당로 194, (옥수동,1층),서울특별시 성동구 옥수동  244번지 10호  1층
3030000,211,1983,00002,미용업(일반),19831213,미가 헤어스투디오,26.40,0222367097,19990413,,20161129,금호4가동,20170417,행정처분,일반미용업,,0,0,0,2,0,N,,3030000-211-1983-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 장터길 36, 2층 201호 (금호동4가),서울특별시 성동구 금호동4가  1132번지  
3030000,211,1983,00003,미용업(일반),19830328,정아,23.00,0222933021,19970421,,20171026,마장동,,,일반미용업,,0,,,2,,N,,3030000-211-1983-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 청계천로12길 32-2, 1층 (마장동),서울특별시 성동구 마장동  479번지 30호  1층
3030000,211,1983,00004,미용업(일반),19830425,명동,29.70,0222993679,19970829,,20110314,왕십리도선동,,,일반미용업,,0,0,0,0,0,N,,3030000-211-1983-00004,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 왕십리로20길 38, (홍익동,지상1층),서울특별시 성동구 홍익동  145번지  지상1층
3030000,211,1983,00005,미용업(일반),19830125,행운,16.45,02 4645772,19970422,,20030716,성수2가제1동,,,일반미용업,,0,,,2,,N,,3030000-211-1983-00005,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/17),내국인,,서울특별시 성동구 성덕정길 84, (성수동2가,(지상1층)),서울특별시 성동구 성수동2가  506번지  (지상1층)
3030000,211,1983,00006,미용업(일반),19830409,선헤어？,22.42,,19970421,,20070228,마장동,,,일반미용업,,0,0,0,3,0,N,,3030000-211-1983-00006,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/17),내국인,,서울특별시 성동구 마조로16길 21, (마장동),서울특별시 성동구 마장동  790번지 3호  
3030000,211,1983,00007,미용업(일반),19831207,성은참머리사랑,43.92,0222937353,19970422,,20061212,왕십리도선동,,,일반미용업,,0,,,2,,N,,3030000-211-1983-00007,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/08/26),내국인,,서울특별시 성동구 무학로8길 33, (홍익동,(지상1층)),서울특별시 성동구 홍익동  190번지  (지상1층)
3030000,211,1983,00007,미용업(일반),19831207,성은참머리사랑,23.92,0222937353,19970422,,20061212,왕십리도선동,,,일반미용업,,0,,,2,,N,,3030000-211-1983-00007,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/08/26),내국인,,서울특별시 성동구 무학로8길 33, (홍익동,(지상1층)),서울특별시 성동구 홍익동  190번지  (지상1층)
3030000,211,1984,00001,미용업(일반),19841126,연정헤어뱅크,11.40,0222918636,19841126,,19841126,금호1가동,,,일반미용업,,0,,,2,,N,,3030000-211-1984-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/21)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/01),내국인,,서울특별시 성동구 행당로1길 8-1, (금호동1가),서울특별시 성동구 금호동1가  167번지 70호  
3030000,211,1984,00002,미용업(일반),19840412,선헤어랜드,60.75,0222368076,19980514,,20180611,금호2.3가동,,,일반미용업,,0,0,0,5,0,N,0,3030000-211-1984-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 무수막길 86, 1층 (금호동2가),서울특별시 성동구 금호동2가  523번지  
3030000,211,1984,00002,미용업(일반),19840412,선헤어랜드,17.23,0222368076,19980514,,20180611,금호2.3가동,,,일반미용업,,0,0,0,5,0,N,0,3030000-211-1984-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 무수막길 86, 1층 (금호동2가),서울특별시 성동구 금호동2가  523번지  
3030000,211,1984,00002,미용업(일반),19840412,선헤어랜드,60.75,0222368076,19980514,,20090107,금호2.3가동,,,일반미용업,,0,0,0,5,0,N,0,3030000-211-1984-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 무수막길 95, (금호동2가,2층),서울특별시 성동구 금호동2가  447번지  2층
3030000,211,1984,00002,미용업(일반),19840412,선헤어랜드,17.23,0222368076,19980514,,20090107,금호2.3가동,,,일반미용업,,0,0,0,5,0,N,0,3030000-211-1984-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 무수막길 95, (금호동2가,2층),서울특별시 성동구 금호동2가  447번지  2층
3030000,211,1984,00003,미용업(일반),19841123,진헤어샵,17.47,02 4656051,19970422,,20060828,성수1가제1동,,,일반미용업,20120508,0,,,2,,N,,3030000-211-1984-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/04),내국인,,서울특별시 성동구 성덕정길 71, (성수동1가,지상1층),서울특별시 성동구 성수동1가  289번지  지상1층
3030000,211,1984,00004,미용업(일반),19840711,황태자,19.23,02 4691977,20030627,,20061212,성수2가제1동,,,일반미용업,20030827,0,,,3,,N,,3030000-211-1984-00004,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/21)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/04),내국인,,서울특별시 성동구 성덕정길 75, (성수동2가,(지상1층)),서울특별시 성동구 성수동2가  345번지 9호  (지상1층)
3030000,211,1984,00005,미용업(일반),19840227,수경,13.20,02 4627051,19970422,,20051020,송정동,,,일반미용업,,0,,,2,,N,,3030000-211-1984-00005,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 광나루로11길 52, (송정동,(지상1층)),서울특별시 성동구 송정동  73번지 13호  (지상1층)
3030000,211,1984,00006,미용업(일반),19841005,영훈,17.90,0222483511,19970422,,20040529,용답동,20170217,지방으로 이사,일반미용업,,0,,,3,,N,,3030000-211-1984-00006,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 용답29길 47, (용답동,(1층)),서울특별시 성동구 용답동  90번지 9호  (1층)
3030000,211,1984,00007,미용업(일반),19841115,동명,13.81,0222962376,19970421,,19970421,마장동,,,일반미용업,,0,,,2,,N,,3030000-211-1984-00007,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/21)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 마장로29길 44-1, (마장동),서울특별시 성동구 마장동  478번지 14호  
3030000,211,1984,00008,미용업(일반),19840704,조경이헤어모드,14.35,02 4656685,19980515,,19980515,성수1가제1동,20150930,개인사정,일반미용업,20120508,0,,,2,,N,,3030000-211-1984-00008,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 상원10나길 23, (성수동1가),서울특별시 성동구 성수동1가  13번지 78호  
